names,prices
"Vitron 5068US,50"" Inch FRAMELESS 4K UHD Android TV 1.5GBRAM,8GBROM","KSh 37,498"
"Vitron HTC4068S,40"" Inch Smart Android TV AppStore + FREE Aerial +Extension+32GB Flash","KSh 22,599"
"Vitron 32"" Inch Smart Android Tv,Netflix,Youtube,Facebook+ 3 Free Gifts","KSh 16,299"
"Vitron HTC4068S,40"" Inch Smart Android HD TV Netflix, Youtube+FREE GIFTS","KSh 21,999"
"Vitron 32""Inches Smart Android TV - Black + FREE 7 Gifts","KSh 18,559"
"Vitron 19 Inches,LED Digital TV,USB,HDMI+Inbuilt Decoder+32GB FLASH DISK","KSh 6,999"
"Vision Plus 43"", FHD FRAMELESS SMART, Android LED TV -  Black.","KSh 28,499"
"Gld SMART Android TV 40"" Inch,USB,HDMI PORTS,NETFLIX,YOUTUBE+WI-FI","KSh 20,999"
"Wyinix WY40D19D,40"" Inch Smart Android 9.0 TV Playstore+FREE Aerial+ExTension+32GBFlash","KSh 21,599"
"Samsung 32T5300 32 Inch Smart Full HD TV HDR Series 5 Inbuilt WIFI Netflix,Youtube Etc","KSh 25,249"
"Vision Plus 32"" Inch, Frameless Smart Android Bluetooth TV AppStore +FREE Bracket+Extension","KSh 16,995"
"Amtec 43L20 43"" Inch TV SMART Android TV+ 6 FREE GIFTS","KSh 26,599"
"Vitron 32 Inch Smart Android TV HDMI,USB,VGA,Netflix,Youtube,Playstore+Aerial","KSh 15,599"
"Gld 40HD39L20,40"" Inch Smart Android TV Bluetooth TV+FREE Extension+Aerial+32GBFlash","KSh 21,599"
"Gld 32"" Inch Frameless Smart Android TV Netflix Youtube Google Play Bluetooth WIFI","KSh 15,288"
"Royal 43"" Inch TV SMART Android TV, FHD-Netfix, Youtube","KSh 26,559"
"Vitron 19'' INCHES-Digital LED TV - HDMI,USB PORT","KSh 6,800"
"Gld 40"" Inch Smart Android TV WIFI Netflix,Youtube,Playstore Bluetooth","KSh 20,199"
"Skyworth 32"" Inches FRAMELESS Smart Android TV","KSh 19,998"
"Vitron 43'' SMART Android TV FULLHD,Netflix Youtube + WallBracket","KSh 25,990"
Vision Plus 32 Inch Frameless Smart Android TV Bluetooth Inbuilt WIFI,"KSh 16,499"
"Hisense A6 Series 32""Inch Frameless Smart TV","KSh 23,699"
"Royal Frameless ,43 Inch SMART Android TV, Netfix,Youtube+ Free Gifts","KSh 26,990"
,
,
,
,
,
,
,
,
"Royal 43"" Inch FHD Smart Android TV,YOUTUBE,FRAMELESS,WI-FI+FREE WALL BRACKET","KSh 28,999"
"Sonar SR43T88FS,43 Inch Smart Android TV Inbuilt WIFI USB,HDMI + 4 GIFTS","KSh 24,999"
"Royal Frameless ,43 Inch SMART Android TV, Netfix,Youtube+ Free Gifts","KSh 27,299"
"Gld 32"" Inches Frameless Smart Android TV+FREE 7 GIFTS","KSh 17,999"
"Sonar 43T88FS,43"" Inch Smart Android TV Inbuilt WIFI USB,HDMI WIFI","KSh 23,499"
"Gld 40HD39L20,40"" Inch Smart Android TV WIFI Netflix, Youtube , Bluetooth","KSh 20,199"
Samsung 32T5300 - 32 Inch Smart LED Full HD TV - Black,"KSh 25,250"
Samsung 40T5300 40 Inch Smart FHD TV Ultra Clean View HDR PURCOLOR+FREE GIFTS,"KSh 41,496"
"Vitron HTC4068S,40"" Inch Smart Android TV AppStore + FREE Aerial +TV Guard+32GB Flash","KSh 22,599"
"Syinix 43A51 FRAMELESS 43"" Inch Full HD  Smart Android TV A51 Series + FREE GIFTS","KSh 32,999"
"Vitron 40"" HTC4068S Inch Android TV SMART, YOU-TUBE TV+FREE GIFTS","KSh 21,773"
"Glaze 4330FS,43"" Inch FullHD Smart Android TV WIFI +FREE TV Guard+Extension+32GB Flash","KSh 25,999"
"Vision Plus _43"" - Frameless FHD Smart Bluetooth LED TV - Black","KSh 30,499"
"Sonar 32T88S 32"" Inch Smart Android TV Netflix Youtube Google Play+FREE Wall Bracket","KSh 14,699"
"TRINITY TR-3258S 32"" Inch Smart Android TV Netflix Youtube Google Play","KSh 14,299"
Mxq 4K Smart Tv Box Android 9.0 - 4K UHD Support,"KSh 4,300"
"CTC 40"" Inch Smart TV,Android,Youtube,USB& HDMI PORTS+WI-FI ACCESS","KSh 20,999"
"Royal 43"" Inch SMART FRAMELESS ANDROID TV,USB,HDMI PORTS,NETFLIX+1 YEAR WARRANTRY","KSh 28,999"
Hisense 32 Inches Smart Frameless 32A6,"KSh 23,999"
"Skyworth 43”FHD Android TV,WI-FI, Netflix ,YouTube GOOGLE ASSITANT-43E3A","KSh 32,399"
Mxq Pro Tv Box 2GB+16GB 4K TV Box / Android Box / Android TV Box/ Smart Box,"KSh 4,000"
"Vitron 43"" Inch SMART Android TV FULL HD-Netfix+Youtube + FREE Gifts","KSh 27,499"
"Star X 22” Inches,HD LED Digital TV,USB-HDMI PORTS+32GB FLASH DISK","KSh 7,995"
"CTC HD 26 Inch,LED Digital TV,USB PORT,HDMI+FREE 32GB FLASH DISK","KSh 9,999"
"Royal Frameless 43"" Inch TV SMART Android TV FHD-Netfix,Youtube","KSh 25,380"
"Vitron 43''SMART Android TV Full HD Inbuilt WIFI,Netflix,Youtube+Free TV Guard","KSh 25,999"
"Star X 22” Inches,LED Digital TV-USB-HDMI +INBUILT DECODER+32GB FLASH DISK","KSh 7,999"
"Gld 32"" Inch Frameless Smart Android TV Netflix GooglePlayStore Bluetooth+FREE GIFTS","KSh 16,499"
"Gld HD 40"" Inch Smart TV,Android,NetFlix,Youtube,USB& HDMI PORTS+FREE EXTENSION","KSh 21,990"
"Sonar SR43T88FS,43 Inch SmartAndroid TV Inbuilt WIFI USB,HDMI WIFI+FREE WALLBRACKET","KSh 23,999"
"Vitron 32"" Inch Smart Android Tv Hdmi,usb,. FREE Extension+32GB Flash+ Aerial","KSh 16,800"
"Vitron HTC4068S,40"" Inch Smart TV Inbuilt WIFI Netflix, Youtube+FREE TV Guard + BRACKET","KSh 21,999"
"Gld 40HD39L20,40"" Inch Smart Android TV Bluetooth TV+FREE TVGuard+Aerial+32GBFlash","KSh 21,699"
"Royal & Awesome Royal Frameless 43"" Inch TV SMART Android TV FHD-Netfix,Youtube","KSh 25,400"
"CTC 26"" Inches,HD LED Digital TV,AC/DC,USB PORT,HDMI CONNECTIVITY","KSh 9,999"
"StarX HD 22” Inches LED Digital TV -USB And HDMI,VGA PortS","KSh 8,250"
"Hisense 55"" A6GL Series Smart Ultra HD 4K Frameless TV - Black","KSh 57,995"
Hisense 65'' 4K ULTRA HD HDR (LATEST MODEL 2021) Smart TV A61G - BLACK,"KSh 99,000"
"CTC 32"" Inches Smart Android Television LED TV","KSh 15,199"
"TCL 32” FHD SMART ANDROID TV,WI-FI,NETFLIX,YOUTUBE-32S68A","KSh 21,390"
,
,
,
,
,
,
,
,
"Amtec 43"" Inch TV SMART Android TV-Netfix,Youtube+FREE 7 Gifts","KSh 28,499"
"Vision FRAMELESS,VP8832DF,32"" Inch Digital HD LED TV,HDMI,USB+FREE GIFTS","KSh 14,199"
"Vitron 43''SMART Android TV FULLHD,Netflix Youtube+Free WallBracket","KSh 25,499"
TCL 43P725 Smart UHD 4K Android With Dolby Frameless 2021,"KSh 40,289"
Hisense 43A4G Series 43'' Smart Full HD Frameless LED TV + Free Gifts,"KSh 37,999"
"Gld 32"" Inch Frameless Smart Android TV GooglePlay Bluetooth+FREE TV Guard+Extension","KSh 15,999"
"Hisense A6 Series,32 Inch Frameless Smart TV WIFI+FREE TVGuard+WallBracket","KSh 23,999"
